Code,Description,Level
10171601,Ammonium nitrate fertilizer,4
10171602,Potassic fertilizer,4
10171603,Phosphatic fertilizer,4
10171604,Sulphuric fertilizer,4
10171605,Nitrogen Phosphorous Potassium Mixtures NPK,4
10190000,Pest control products,2
10191500,Pesticides or pest repellents,3
10191509,Insecticides,4
10191506,Rodenticides,4
10191700,Pest control devices,3
11000000,Mineral and Textile and Inedible Plant and Animal Materials,1
11100000,Minerals and ores and metals,2
11101500,Minerals,3
11101501,Mica,4
11101506,Chalk,4
11101600,Ores,3
11101700,Base Metals,3
11101800,Precious metals,3
11110000,Earth and stone,2
11111500,Dirt and soil,3
11111501,Soil,4
11111600,Stone,3
11111601,Gypsum,4
11111602,Travertine,4
11111603,Ecaussine or alabaster,4
11111604,Granite,4
11111605,Marble,4
11111606,Slate,4
11111607,Sandstone,4
11111608,Limestone,4
11111700,Sand,3
11111701,Silica sand,4
11111800,Clays,3
11111801,Terra cotta,4
11111802,Fireclay,4
11111803,Kaolin or other kaolinic clays,4
11111804,Bentonite,4
11111805,Andalusite,4
11111806,Mullite,4
11111807,Chamotte,4
11111808,Common clay,4
11111809,Ball clay,4
11111810,Fullers earth,4
11120000,Non edible plant and forestry products,2
11121500,Sap,3
11121502,Rosin,4
11121600,Wood,3
11121603,Logs,4
11121604,Soft timber,4
11121605,Rattan,4
11121606,Cork,4
11121607,Wood pulp,4
11121608,Bamboo,4
11121700,Forestry byproducts,3
11121800,Plant fibers,3
11130000,Non edible animal products,2
11131500,Animal hides and skins and animal textile materials,3
11131501,Feathers,4
11131600,Other animal products,3
11131602,Semen,4
11131607,Embryos,4
11140000,Scrap and waste materials,2
11141600,Non metallic waste and scrap,3
11141700,Food and tobacco waste and scrap,3
11150000,Fibers and threads and yarns,2
11151500,Fibers,3
11151600,Threads,3
11151700,Yarns,3
11160000,Fabrics and leather materials,2
11161500,Silk fabrics,3
11161600,Wool fabrics,3
11161700,Cotton fabrics,3
11161800,Synthetic fabrics,3
11162000,Fabrics of vegetable material other than cotton,3
11162100,Specialty fabrics or cloth,3
11162101,Cheese cloth or fabric,4
11162102,Bismalemide fabric or cloth,4
11162104,Graphite fabric or cloth,4
11162105,Glass fabric or cloth,4
11162107,Resin impregnated fabric or cloth,4
11162108,Wire mesh fabric or cloth,4
11162109,Lace,4
11162110,Netting,4
11162111,Mesh,4
11162112,Coated fabrics,4
11162113,Upholstery fabrics,4
12000000,Chemicals including Bio Chemicals and Gas Materials,1
12141800,Alkali metals,3
12142201,Deuterated solvents,4
12142202,Heavy water,4
12142203,Alpha sources,4
12142204,Beta sources,4
12142205,Cobalt sources,4
12142206,Gamma sources,4
12142207,Radioisotope sources,4
12142208,Calibration sources,4
12130000,Explosive materials,2
12131500,Explosives,3
12131501,Dynamite,4
12131502,Explosive cartridges,4
12131503,Propellant explosives,4
12131504,Explosive charges,4
12131505,Plastic explosives,4
12131506,Aluminized explosives,4
12131507,Ammonium nitrate explosives,4
12131508,Nitroglycerin powder explosives,4
12131600,Pyrotechnics,3
12131700,Igniters,3
12131702,Detonators,4
12131703,Explosives fuses,4
12131704,Explosive initiators,4
12131705,Explosive primers,4
12131800,Propellants,3
13000000,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,1
13100000,Rubber and elastomers,2
13101500,Natural rubber,3
13101600,Processed and synthetic rubber,3
13101700,Elastomers,3
13101900,Thermoset plastics,3
13102000,Thermoplastic plastics,3
13111000,Resins,3
13111202,Polyurethane films,4
14000000,Paper Materials and Products,1
14100000,Paper materials,2
14101500,Raw materials,3
14101501,Paper pulp,4
14120000,Industrial use papers,2
14121500,Paperboard and packaging papers,3
14121901,Standard newsprint,4
14121807,Butcher papers,4
14110000,Paper products,2
14111500,Printing and writing paper,3
14111501,Onion skin paper,4
14111502,Vellum paper,4
14111503,Parchment paper,4
14111504,Tractor feed paper,4
14111505,Mimeograph paper,4
14111506,Computer printout paper,4
14111507,Printer or copier paper,4
14111508,Facsimile paper,4
14111509,Stationery,4
14111510,Plotter paper,4
14111511,Writing paper,4
14111512,Graph paper,4
14111513,Ledger paper,4
14111514,Paper pads or notebooks,4
14111515,Calculator or cash register paper,4
14111516,Notebook filler paper,4
14111806,Business forms or questionnaires,4
14111600,Novelty paper,3
14111601,Gift wrapping paper or bags or boxes,4
14111604,Business cards,4
14111605,Greeting or note or post cards,4
14111700,Personal paper products,3
14111701,Facial tissues,4
14111702,Toilet seat covers,4
14111703,Paper towels,4
14111704,Toilet tissue,4
15000000,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,1
15100000,Fuels,2
15101500,Petroleum and distillates,3
15101700,Fuel Oils,3
15101502,Kerosene,4
15101503,Naphtha,4
15101504,Aviation fuel,4
15101505,Diesel fuel,4
15101506,Gasoline or Petrol,4
15101507,Benzene,4
15101508,Crude oil,4
15101509,Marine fuel,4
15101600,Solid and gel fuels,3
15110000,Gaseous fuels and additives,2
15111500,Gaseous fuels,3
15111501,Propane,4
15111502,Methane,4
15111503,Propylene,4
15111504,Ethylene,4
15111505,Butane,4
15120000,Lubricants and oils and greases and anti corrosives,2
15121500,Lubricating preparations,3
15121501,Engine oil,4
15121504,Hydraulic oil,4
15121508,Transmission oil,4
12181500,Waxes,3
15121800,Anti corrosives,3
15130000,Fuel for nuclear reactors,2
15131500,Nuclear fuel,3
15131601,Nuclear fuel rod,4
15131502,Depleted uranium,4
15131503,Enriched uranium,4
15131504,Iridium,4
15131505,Enriched plutonium,4
15131506,Depleted plutonium,4
20000000,Mining and Well Drilling Machinery and Accessories,1
20100000,Mining and quarrying machinery and equipment,2
20101500,Cutting equipment,3
20101501,Continuous mining equipment,4
20101502,Longwall shears,4
20101600,Screens and feeding equipment,3
20101700,Crushers and breakers and grinders,3
20101709,Ball mills,4
20110000,Well drilling and operation equipment,2
20111500,Drilling and exploration equipment,3
20111504,Water well drilling equipment,4
20111505,Uranium exploration equipment,4
20111600,Drilling and operation machinery,3
20102100,Rock drills,3
20111700,Drilling and operation accessories,3
21000000,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,1
21100000,Agricultural and forestry and landscape machinery and equipment,2
21101500,Agricultural machinery for soil preparation,3
21101501,Ploughs,4
21101502,Harrows,4
21101503,Cultivators,4
21101504,Weeders,4
21101505,Hoeing machines,4
21101506,Graders or land levelers,4
21101507,Agricultural rollers,4
21101508,Rollers for lawn or sports grounds,4
21101509,Trencher drainage machine,4
21102501,Irrigation trickles,4
21102502,Irrigation overheads,4
21101600,Agricultural machinery for planting and seeding,3
21101601,Planters,4
21101700,Agricultural machinery for harvesting,3
21101701,Mowers,4
21101703,Harvesters,4
21101705,Threshing machines,4
21101800,Dispersing and spraying appliances for agriculture,3
21101801,Sprayers,4
21101802,Dusters,4
21101803,Water sprinklers,4
21101804,Fertilizer spreaders or distributors,4
21101805,Fog or mist generators,4
21101806,Composter,4
21101807,Pollination equipment or supplies,4
21101808,Frost protection equipment,4
21101900,Poultry and livestock equipment,3
21101901,Milking machines,4
21101903,Incubators or brooders for poultry,4
21101905,Livestock identification equipment,4
21101906,Egg inspection or collecting equipment,4
21102000,Agricultural machinery for cleaning and sorting and grading,3
21102001,Cleaning machines for seed or grain or dried leguminous vegetables,4
21102002,Sorting machines for seed or grain or dried leguminous vegetables,4
21102100,Agricultural processing machinery and equipment,3
21102200,Forestry machinery and equipment,3
21102300,Greenhouse equipment,3
21102400,Insect equipment,3
21102401,Beekeeping equipment,4
21110000,Fishing and aquaculture equipment,2
21111500,Commercial fishing equipment,3
21111501,Commercial fish hooks,4
21111504,Commercial fishing nets,4
21111600,Aquaculture equipment,3
22000000,Building and Construction Machinery and Accessories,1
22100000,Heavy construction machinery and equipment,2
22101500,Earth moving machinery,3
22101501,Front end loaders,4
22101502,Graders,4
22101504,Pile drivers,4
22101505,Rollers,4
22101507,Tampers,4
22101508,Trenching machines,4
22101509,Backhoes,4
22101511,Compactors,4
22101513,Draglines,4
22101514,Dredgers,4
22101516,Ditchers,4
22101600,Paving equipment,3
22101700,Heavy equipment components,3
23000000,Industrial Manufacturing and Processing Machinery and Accessories,1
23100000,Raw materials processing machinery,2
23101500,Machinery for working wood and stone and ceramic and the like,3
23101501,Coping machines,4
23101513,Milling machines,4
23110000,Petroleum processing machinery,2
23120000,Textile and fabric machinery and accessories,2
23121500,Textile processing machinery and accessories,3
23121501,Embroidery making machines,4
23121600,Textile working machinery and equipment and accessories,3
23121614,Sewing machines,4
23130000,Lapidary machinery and equipment,2
23131500,Grinding and sanding and polishing equipment and supplies,3
23131501,Abrasive compounds,4
23131503,Grinding wheels,4
23131600,Faceting equipment and accessories,3
23131700,Cabbing equipment,3
23140000,Leatherworking repairing machinery and equipment,2
23141600,Leather preparing machinery and accessories,3
23141601,Leather fleshing machines,4
23141700,Leather working and repairing machinery and accessories,3
23150000,Industrial process machinery and equipment and supplies,2
23151500,Rubber and plastic processing machinery and equipment and supplies,3
23151600,Cement and ceramics and glass industry machinery and equipment and supplies,3
23151700,Optical industry machinery and equipment and supplies,3
23151800,Pharmaceutical industry machinery and equipment and supplies,3
23151900,Paper making and paper processing machinery and equipment and supplies,3
23160000,Foundry machines and equipment and supplies,2
23161500,Foundry machines and equipment,3
23161501,Foundry blowers,4
23161600,Foundry supplies,3
23271812,Welding rod,4
23180000,Industrial food and beverage equipment,2
23181500,Food preparation machinery,3
23181501,Filling machinery,4
23181502,Milling machinery,4
23181507,Crushing machinery,4
23181600,Food cutting machinery,3
23181601,Dicing machinery,4
23181700,Food cooking and smoking machinery,3
23181800,Industrial beverage processing machinery,3
24000000,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,1
24100000,Material handling machinery and equipment,2
24101500,Industrial trucks,3
24101501,Carts,4
24101502,Bulk transporters,4
24101503,Dollies,4
24101504,Hand trucks or accessories,4
24101505,Pallet trucks,4
24101506,Pushcarts,4
24101507,Wheelbarrows,4
24101600,Lifting equipment and accessories,3
24101601,Elevators,4
24101602,Hoists,4
24101603,Forklifts,4
24101604,Lifts,4
24101605,Loading equipment,4
24101606,Stackers,4
24101608,Winches,4
24101700,Conveyors and accessories,3
24101706,Trolleys or accessories,4
24101800,Dock equipment,3
24101900,Drum handling equipment,3
24102000,Shelving and storage,3
24112700,Pallets,3
24102100,Warehousing equipment and supplies,3
24102101,Cargo handling equipment,4
24102102,Warehouse carousels,4
24102103,Warehouse casers,4
24102104,Depalletizers,4
24102105,Palletizers,4
24102106,Industrial shrink wrap equipment,4
24110000,Containers and storage,2
24111500,Bags,3
24111501,Canvas bags,4
24111502,Paper bags,4
24111503,Plastic bags,4
24112500,Corrugated and other supplies for distribution,3
24111800,Tanks and cylinders and their accessories,3
24111801,Reservoirs,4
24111802,Air or gas tanks or cylinders,4
24111803,Storage tanks,4
24111804,Calibrating tanks,4
24111805,Chemical tanks,4
24111806,Dip tanks,4
24111807,Expansion tanks,4
24111808,Fuel storage tanks,4
24111809,Processing tanks,4
24111810,Water storage tanks,4
24112000,Bins and baskets,3
24112100,Casks and barrels and drums,3
24112101,Casks,4
24112200,Cans and pails,3
24122000,Bottles,3
24122002,Plastic bottles,4
24122003,Glass bottles,4
24112400,Storage chests and cabinets and trunks,3
24112401,Tool chest or cabinet,4
24112402,Hazardous materials cabinets,4
24120000,Packaging materials,2
24121500,Packaging boxes and bags and pouches,3
24121502,Packaging pouches or bags,4
24141501,Stretch wrap films,4
24141600,Cushioning supplies,3
24121800,Packaging cans,3
24130000,Industrial refrigeration,2
24131500,Industrial refrigerators,3
24131501,Combined refrigerator freezers,4
24131502,Liquid nitrogen refrigerators,4
24131503,Walk in refrigerators,4
24131504,Refrigerated containers,4
24131505,Refrigerated vessels,4
24131506,Refrigerated tanks,4
24131600,Industrial freezers,3
24131601,Chest freezers,4
24131602,Upright cabinet freezer,4
24131603,Low temperature freezers,4
24131604,Freeze drying equipment,4
24131605,Walk in freezers,4
24131900,Ice makers,3
25000000,Commercial and Military and Private Vehicles and their Accessories and Components,1
25100000,Motor vehicles,2
25101500,Passenger motor vehicles,3
25101501,Minibuses,4
25101502,Busses,4
25101503,Automobiles or cars,4
25101504,Station wagons,4
25101505,Minivans or vans,4
25101506,Limousines,4
25101507,Light trucks or sport utility vehicles,4
25101600,Product and material transport vehicles,3
25101601,Dump trucks,4
25101602,Tow trucks,4
25101604,Delivery trucks,4
25101609,Sludge or sewage handling trucks,4
25101700,Safety and rescue vehicles,3
25101702,Police vehicles,4
25101703,Ambulances,4
25101800,Motorized cycles,3
25101801,Motorcycles,4
25101802,Scooters,4
25101803,Mopeds,4
25101900,Specialized and recreational vehicles,3
25101901,Agricultural tractors,4
25101902,Motor homes,4
25101903,Snowmobiles or snow scooter,4
25101904,Golf carts,4
25102000,War vehicles,3
25102001,Tanks,4
25102002,Armored fighting vehicles,4
25102003,Self propelled artillery,4
25110000,Marine transport,2
25111500,Commercial marine craft,3
25111501,Trawlers,4
25111502,Fishing boats,4
25111503,Cargo or container ships,4
25111504,Dredging craft,4
25111505,Tankers,4
25111506,Tug boats,4
25111507,Barges,4
25111508,Passenger or automobile ferries,4
25111509,Cruise ships,4
25111510,Salvage ships,4
25111600,Safety and rescue water craft,3
25111601,Lifeboats or liferafts,4
25111602,Fire fighting watercraft,4
25111603,Rescue ships or boats,4
25111700,Military watercraft,3
25111800,Recreational watercraft,3
25111801,Recreational sailboats,4
25111802,Recreational motorboats,4
25111803,Recreational rowboats,4
25111804,Canoes or kayaks,4
25111805,Personal motorized watercraft,4
25111806,Rafts,4
25120000,Railway and tramway machinery and equipment,2
25121500,Locomotives and electric trolleys,3
25121501,Diesel freight locomotives,4
25130000,Aircraft,2
25131500,Powered fixed wing aircraft,3
25131504,Commercial passenger propeller aircraft,4
25131505,Cargo jet aircraft,4
25131506,Commercial passenger jet aircraft,4
25131507,Private or business propeller aircraft,4
25131508,Private or business jet aircraft,4
25131600,Civilian and commercial rotary wing aircraft,3
25131601,Passenger transport helicopters,4
25131602,Cargo transport helicopters,4
25131604,Medical or rescue helicopters,4
25131700,Military fixed wing aircraft,3
25131705,Target or reconnaissance drones,4
25131707,Reconnaissance or surveillance aircraft,4
25131709,Military transport aircraft,4
25131800,Specialty aircraft,3
25131900,Military rotary wing aircraft,3
25131902,Military transport helicopters,4
25201702,Flight data recorders,4
25201701,Aircraft communication systems,4
25201901,Aircraft fire control or extinguishing systems,4
25201801,Flight computer systems,4
25191500,Air transportation support systems and equipment,3
25191501,Ground support training systems,4
25191502,Ground support test or maintenance systems,4
25191503,Integrated maintenance information systems,4
25191504,Aircraft flight simulators or trainers,4
25191505,Aircraft cargo handling equipment,4
25191506,Aircraft refueling equipment,4
25191507,Aircraft deicing equipment,4
25191508,Jetways,4
25191509,Aircraft pushback or tow tractors,4
25191510,Ground power units for aircraft,4
25191511,Lavatory service equipment for aircraft,4
25191512,Airstairs or stair trucks,4
25150000,Spacecraft,2
25151700,Satellites,3
25151701,Communication satellites,4
25160000,Non motorized cycles,2
25161500,Pedal powered vehicles,3
25161505,Mountain bicycles,4
25161506,Racing bicycles,4
25161507,Bicycles,4
25170000,Transportation components and systems,2
25171500,Windshield wipers,3
25171600,Defrosting and defogging systems,3
25171700,Braking systems and components,3
25171702,Automotive braking systems,4
25181600,Automotive chassis,3
25181601,Automobile chassis,4
25171900,Wheels and wheel trims,3
25171901,Automobile rims or wheels,4
25172000,Suspension system components,3
25172100,Vehicle safety and security systems and components,3
25202301,Aircraft lapbelts,4
25172200,Vehicle doors,3
25172300,Vehicle windows and windshields,3
25172400,Fuel tanks and systems,3
25172500,Tires and tire tubes,3
25172502,Automobile tire tubes,4
25172503,Heavy truck tires,4
25172504,Automobile or light truck tires,4
25172600,Vehicle trim and exterior covering,3
25172700,Environmental control systems,3
25172800,Hydraulic systems and components,3
25172900,Exterior vehicle lighting,3
25173000,Interior vehicle lighting,3
26000000,Power Generation and Distribution Machinery and Accessories,1
26100000,Power sources,2
26101500,Engines,3
26101501,Hydraulic engines,4
26101502,Pneumatic engines,4
26101503,Gas engines,4
26101504,Diesel engines,4
26101505,Steam engines,4
26101506,Turbine engines,4
26101507,Turbofan engines,4
26101508,Thermal engines,4
26101509,Hydroelectric engines,4
26101511,Hydraulic turbine engines,4
26101300,Non electric motors,3
26101100,Electric alternating current AC motors,3
26101200,Electric direct current DC motors,3
26110000,Batteries and generators and kinetic power transmission,2
26111500,Kinetic power transmission,3
26111900,Clutches,3
26111600,Power generators,3
26111601,Diesel generators,4
26111602,Hydro electric generators,4
26111603,Wind generators,4
26111604,Gas generators,4
26111605,Thermal generators,4
26111606,Hydraulic generators,4
26111607,Solar generators,4
26111700,Batteries and cells and accessories,3
26111701,Rechargeable batteries,4
26111702,Alkaline batteries,4
26111703,Vehicle batteries,4
26111704,Battery chargers,4
26111705,Dry cell batteries,4
26111706,Electronic batteries,4
26111707,Lead acid batteries,4
26111708,Nickel iron batteries,4
26111709,Nickel cadmium batteries,4
26111710,Product specific battery packs,4
26111711,Lithium batteries,4
26120000,Electrical wire and cable and harness,2
26121500,Electrical wire,3
26121609,Network cable,4
26121600,Electrical cable and accessories,3
26121700,Wiring harness,3
26130000,Power generation,2
26131500,Power plants,3
26131501,Diesel power plants,4
26131502,Geothermal power plants,4
26131503,Hydro power plants,4
26131504,Gas power plants,4
26131505,Marine power plants,4
26131506,Petrol power plants,4
26131507,Solar power plants,4
26131508,Steam power plants,4
26131509,Wind power plants,4
26131510,Thermal power plants,4
26140000,Atomic and nuclear energy machinery and equipment,2
26141600,Subcritical assembly equipment,3
26141700,Dosimetry equipment,3
26141800,Hot cell devices,3
26141900,Industrial nucleonic instruments,3
26142000,Irradiation equipment,3
26142100,Nuclear reactor equipment,3
26142200,Nuclear fuel equipment,3
26142300,Radiation shielding equipment,3
26142302,Lead screens,4
26142400,Radioactive waste equipment,3
26142407,Radioactive waste disposal systems,4
27000000,Tools and General Machinery,1
27110000,Hand tools,2
27111701,Screwdrivers,4
27111801,Tape measures,4
27111704,Sockets,4
27111509,Augers,4
27111504,Pocket knives,4
27112004,Shovels,4
27112700,Power tools,3
27112712,Power trimmers,4
27112800,Tool attachments and accessories,3
30000000,Structures and Building and Construction and Manufacturing Components and Supplies,1
30100000,Structural components and basic shapes,2
30101500,Angles,3
30101700,Beams,3
30101800,Channels,3
30102000,Foil,3
40170000,Pipe piping and pipe fittings,2
30102200,Plate,3
30102300,Profiles,3
30102306,Aluminum profiles,4
30102400,Rod,3
30102800,Piling,3
30102900,Post,3
30103100,Rails,3
30103200,Grating,3
30103500,Honeycomb core,3
30103600,Structural products,3
30110000,Concrete and cement and plaster,2
30111500,Concrete and mortars,3
30111501,Foamed concrete,4
30111502,Conductive concrete,4
30111503,Insulating concrete,4
30111504,Mortars,4
30111600,Cement and lime,3
30111601,Cement,4
30111602,Chlorinated lime,4
30111603,Hydraulic lime,4
30111604,Hydrated lime,4
30111605,Lean lime,4
30111700,Plasters,3
30111701,Gypsum plaster,4
30120000,Roads and landscape,2
30121500,Bituminous derivatives,3
30121600,Asphalts,3
30121601,Asphalt,4
30121602,Pitch,4
30121603,Gilsonite,4
30121604,Cutback products,4
30130000,Structural building products,2
30131500,Blocks,3
30131502,Concrete blocks,4
30131503,Stone blocks,4
30131504,Ceramic blocks,4
30131600,Bricks,3
30131602,Ceramic bricks,4
30131603,Concrete bricks,4
30131604,Stone bricks,4
30131700,Tiles and flagstones,3
30131703,Concrete tiles or flagstones,4
30140000,Insulation,2
30150000,Exterior finishing materials,2
30151500,Roofing materials,3
30151501,Roll roofing,4
30151502,Roof valleys,4
30151503,Roofing fabrics,4
30151505,Roofing membranes,4
30151507,Shakes,4
30151508,Shingles,4
30151510,Slate roofing,4
30151600,Roofing accessories,3
30151700,Rain gutters and accessories,3
30151800,Siding and exterior wall materials,3
30151900,Finishing materials and products,3
30160000,Interior finishing materials,2
30161500,Wall finishing materials,3
30161600,Ceiling materials,3
30161700,Flooring,3
30161702,Wood flooring,4
30161800,Cabinetry,3
30162200,Countertops ,3
30161900,Molding and millwork,3
30170000,Doors and windows and glass,2
30171500,Doors,3
30171501,Glass doors,4
30171502,Screen doors,4
30171503,Rolling doors,4
30171504,Wooden doors,4
30171505,Metal doors,4
30171506,Storm doors,4
30171507,Door frames,4
30171508,Pocket doors,4
30171600,Windows,3
30171900,Window frames,3
30171800,Skylights,3
30171700,Glass products,3
30171701,Paving blocks,4
30171703,Beveled glass,4
30171704,Leaded glass,4
30171705,Laminated glass,4
30171706,Tempered glass,4
30171707,Safety glass,4
30171708,Float glass,4
30171709,Wired glass,4
30180000,Plumbing fixtures,2
30181500,Sanitary ware,3
30181501,Bathtubs,4
30181502,Bidets,4
30181503,Showers,4
30181504,Sinks,4
30181505,Toilets,4
30181506,Urinals,4
30181507,Bathtub or shower enclosures,4
30190000,Construction and maintenance support equipment,2
30191500,Ladders and scaffolding,3
24101609,Tilts,4
95140000,Prefabricated buildings and structures,2
95141500,Prefabricated farm buildings and structures,3
95141501,Silo,4
95141502,Greenhouse,4
95141600,Prefabricated residential buildings and structures,3
95141601,House,4
95141602,Mobile home,4
95141603,Cabin,4
95141700,Prefabricated commercial and industrial buildings and structures,3
95141701,In plant office,4
95141702,Spray booth,4
95141703,Storage shed,4
95141704,Clean room,4
95141705,Guardhouse,4
95131602,Portable toilet,4
95141706,Warehouse,4
95141800,Prefabricated emergency relief buildings and structures,3
95141801,Shelter,4
95141802,Emergency tent or hall,4
95141803,Container unit,4
95141900,Prefabricated medical buildings and structures,3
95141901,Medical unit,4
95141902,Laboratory unit,4
95141903,Dental unit,4
95141904,Surgical units,4
39120000,Electrical equipment and components and supplies,2
39121004,Power supply units,4
39121017,Power distribution units PDUs,4
39121006,Power adapters or inverters,4
41112100,Transducers,3
39121300,Electrical boxes and enclosures and fittings and accessories,3
39121400,Electrical lugs plugs and connectors,3
39121402,Electrical plugs,4
39121406,Electrical receptacles,4
39121500,Electrical controls and accessories ,3
39122216,Push button switch,4
39121600,Circuit protection devices and accessories,3
39121700,Electrical hardware and supplies,3
39121701,Electrical hangers,4
31000000,Manufacturing Components and Supplies,1
31100000,Castings and casting assemblies,2
31110000,Extrusions,2
31130000,Forgings,2
31140000,Moldings,2
31150000,Rope and chain and cable and wire and strap,2
31151500,Ropes,3
31151600,Chains,3
31151700,Mechanical cable,3
31151800,Mechanical wire,3
31151900,Straps,3
31151902,Leather straps,4
31160000,Hardware,2
31161500,Screws,3
31161600,Bolts,3
31161700,Nuts,3
31161800,Washers,3
31161900,Springs,3
31162000,Nails,3
31162100,Anchors,3
31162200,Rivets,3
31162300,Mounting hardware,3
31162400,Miscellaneous fasteners,3
31162500,Brackets and braces,3
31162600,Hooks,3
31162700,Rolling hardware,3
31162800,Miscellaneous hardware,3
31162900,Clamps,3
31163000,Couplings,3
31170000,Bearings and bushings and wheels and gears,2
31171500,Bearings,3
31171504,Ball bearings,4
31171600,Bushings,3
31171700,Gears,3
31171800,Industrial wheels,3
31171900,Sprockets,3
31180000,Packings glands boots and covers,2
31190000,Grinding and polishing and smoothing materials,2
31191500,Abrasives and abrasive media,3
31191600,Abrasive wheels,3
31191506,Abrasive discs,4
31200000,Adhesives and sealants,2
31201500,Tape,3
31201505,Double sided tape,4
31201600,Adhesives,3
31210000,Paints and primers and finishes,2
31211500,Paints and primers,3
31211507,Spray paints,4
31211600,Paint additives,3
31211700,Miscellaneous finishes,3
31211800,Paint solvents and thinners,3
31211900,Paint applicators and painting accessories,3
31220000,Dyeing and tanning extracts,2
31240000,Industrial optics,2
31250000,Pneumatic and hydraulic and electric control systems,2
31260000,Housings and cabinets and casings,2
32000000,Electronic Components and Supplies,1
32100000,Printed circuits and integrated circuits and microassemblies,2
32101500,Circuit assemblies and radio frequency RF components,3
32101600,Integrated circuits,3
32101601,Random access memory RAM,4
32110000,Discrete semiconductor devices,2
32120000,Passive discrete components,2
32121700,Discrete components,3
32121701,Rectifiers,4
32121702,Inductors,4
32121703,Ferrites,4
32121704,Static converters,4
32121705,Inverters,4
39000000,Electrical Systems and Lighting and Components and Accessories and Supplies,1
39100000,Lamps and lightbulbs and lamp components,2
39101616,Ultraviolet UV lamps,4
39101600,Lamps and lightbulbs,3
39101601,Halogen lamps,4
39101602,Medical lamps,4
39101603,Solar lamps,4
39101605,Fluorescent lamps,4
39110000,Lighting Fixtures and Accessories,2
39111500,Interior lighting fixtures and accessories ,3
39111600,Exterior lighting fixtures and accessories ,3
39111608,Residential street lights,4
39111700,Emergency lighting and accessories,3
39111610,Flashlight,4
